Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,gives,Other,some,Other,width,Other,outside,Other,off,Other,and,Other,QdK,Batsman,drives,Other,into,Other,the,Other,covers,Fielding_Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,back,Other,of,Other,length,Other,and,Other,swinging,Other,in,Other,pushed,Other,to,Other,the,Other,leg,Other,side,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,2,Other,runs,Other,touch,Other,fuller,Other,tside,Other,off,Other,and,Other,he,Other,drives,Other,it,Other,nicely,Other,in,Other,the,Other,gap,Other,through,Other,the,Other,covers,Fielding_Position,for,Other,two,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,FOUR,Other,back,Other,of,Other,length,Other,outside,Other,off,Other,there's,Other,room,Other,too,Other,and,Other,QdK,Batsman,square,Other,drives,Other,it,Other,in,Other,the,Other,gap,Other,between,Other,point,Fielding_Position,and,Other,cover,Fielding_Position,point,Fielding_Position,for,Other,four,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,some,Other,room,Other,outside,Other,off,Other,again,Other,he,Other,punches,Other,it,Other,down,Other,to,Other,mid,Fielding_Position,off,Fielding_Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,back,Other,of,Other,length,Other,outside,Other,off,Other,and,Other,he,Other,defends,Other,it,Other,back,Other,to,Other,the,Other,bowler,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,Bowler,Sharma,Bowler,to,Other,Amla,Batsman,third,Fielding_Position,man,Fielding_Position,1,Other,run,Other,nice,Other,outswing,Other,outside,Other,off,Other,Amla,Batsman,runs,Other,it,Other,down,Other,to,Other,man,Other,one,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,Bowler,Sharma,Bowler,to,Other,de,Batsman,Kock,Batsman,2,Other,runs,Other,angles,Other,it,Other,into,Other,the,Other,pads,Other,and,Other,QdK,Batsman,tucks,Other,it,Other,away,Other,nicely,Other,towards,Other,deep,Other,square,Other,leg,Other,before,Other,Harbhajan,Fielder,cuts,Other,it,Other,in,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,Bowler,Sharma,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,full,Other,outside,Other,off,Other,driven,Other,hard,Other,and,Other,straight,Other,to,Other,Dhawan,Fielder,at,Other,cover,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,Bowler,Sharma,Bowler,to,Other,de,Batsman,Kock,Batsman,no,Other,run,Other,fullish,Other,outside,Other,off,Other,again,Other,he,Other,drives,Other,it,Other,into,Other,the,Other,covers,Fielding_Position,now,Other,with,Other,anOther,Other,high,Other,follow,Other,through,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
